date,state,fips,day_num,new,value,type,growth
2020-03-17,Texas,48,0,19,106,cases,0.21839080459770116
2020-03-17,Texas,48,0,0,1,deaths,0.0
2020-03-17,Washington,53,10,114,908,cases,0.14357682619647355
2020-03-17,Washington,53,10,6,54,deaths,0.125
2020-03-18,California,6,11,161,893,cases,0.21994535519125682
2020-03-18,California,6,11,3,17,deaths,0.21428571428571427
2020-03-18,Colorado,8,4,33,216,cases,0.18032786885245902
2020-03-18,Colorado,8,4,0,3,deaths,0.0
2020-03-18,Florida,12,3,116,326,cases,0.5523809523809524
2020-03-18,Florida,12,3,1,7,deaths,0.16666666666666666
2020-03-18,Georgia,13,2,51,193,cases,0.3591549295774648
2020-03-18,Georgia,13,2,2,3,deaths,2.0
2020-03-18,Illinois,17,2,127,286,cases,0.7987421383647799
2020-03-18,Illinois,17,2,0,1,deaths,0.0
2020-03-18,Louisiana,22,3,84,280,cases,0.42857142857142855
2020-03-18,Louisiana,22,3,2,7,deaths,0.4
2020-03-18,Massachusetts,25,6,38,256,cases,0.1743119266055046
2020-03-18,Massachusetts,25,6,0,0,deaths,
2020-03-18,New Jersey,34,2,159,427,cases,0.5932835820895522
2020-03-18,New Jersey,34,2,2,5,deaths,0.6666666666666666
2020-03-18,New York,36,10,1008,2382,cases,0.7336244541484717
2020-03-18,New York,36,10,10,27,deaths,0.5882352941176471
2020-03-18,Pennsylvania,42,1,38,139,cases,0.37623762376237624
2020-03-18,Pennsylvania,42,1,1,1,deaths,
2020-03-18,Texas,48,1,60,166,cases,0.5660377358490566
2020-03-18,Texas,48,1,1,2,deaths,1.0
2020-03-18,Washington,53,11,118,1026,cases,0.1299559471365639
2020-03-18,Washington,53,11,14,68,deaths,0.25925925925925924
2020-03-18,Wisconsin,55,0,34,106,cases,0.4722222222222222
2020-03-18,Wisconsin,55,0,0,0,deaths,
2020-03-19,California,6,12,174,1067,cases,0.1948488241881299
2020-03-19,California,6,12,2,19,deaths,0.11764705882352941
2020-03-19,Colorado,8,5,62,278,cases,0.28703703703703703
2020-03-19,Colorado,8,5,2,5,deaths,0.6666666666666666
2020-03-19,Connecticut,9,0,63,159,cases,0.65625
2020-03-19,Connecticut,9,0,3,4,deaths,3.0
2020-03-19,Florida,12,4,108,434,cases,0.3312883435582822
2020-03-19,Florida,12,4,1,8,deaths,0.14285714285714285
2020-03-19,Georgia,13,3,89,282,cases,0.46113989637305697
2020-03-19,Georgia,13,3,7,10,deaths,2.3333333333333335
2020-03-19,Illinois,17,3,134,420,cases,0.46853146853146854
2020-03-19,Illinois,17,3,3,4,deaths,3.0
