date,state,fips,new,value,type,growth
2020-02-07,California,6,0,0,deaths,
2020-02-07,Illinois,17,0,2,cases,0.0
2020-02-07,Illinois,17,0,0,deaths,
2020-02-07,Massachusetts,25,0,1,cases,0.0
2020-02-07,Massachusetts,25,0,0,deaths,
2020-02-07,Washington,53,0,1,cases,0.0
2020-02-07,Washington,53,0,0,deaths,
2020-02-07,Wisconsin,55,0,1,cases,0.0
2020-02-07,Wisconsin,55,0,0,deaths,
2020-02-08,Arizona,4,0,1,cases,0.0
2020-02-08,Arizona,4,0,0,deaths,
2020-02-08,California,6,0,6,cases,0.0
2020-02-08,California,6,0,0,deaths,
2020-02-08,Illinois,17,0,2,cases,0.0
2020-02-08,Illinois,17,0,0,deaths,
2020-02-08,Massachusetts,25,0,1,cases,0.0
2020-02-08,Massachusetts,25,0,0,deaths,
2020-02-08,Washington,53,0,1,cases,0.0
2020-02-08,Washington,53,0,0,deaths,
2020-02-08,Wisconsin,55,0,1,cases,0.0
2020-02-08,Wisconsin,55,0,0,deaths,
2020-02-09,Arizona,4,0,1,cases,0.0
2020-02-09,Arizona,4,0,0,deaths,
2020-02-09,California,6,0,6,cases,0.0
2020-02-09,California,6,0,0,deaths,
2020-02-09,Illinois,17,0,2,cases,0.0
2020-02-09,Illinois,17,0,0,deaths,
2020-02-09,Massachusetts,25,0,1,cases,0.0
2020-02-09,Massachusetts,25,0,0,deaths,
2020-02-09,Washington,53,0,1,cases,0.0
2020-02-09,Washington,53,0,0,deaths,
2020-02-09,Wisconsin,55,0,1,cases,0.0
2020-02-09,Wisconsin,55,0,0,deaths,
2020-02-10,Arizona,4,0,1,cases,0.0
2020-02-10,Arizona,4,0,0,deaths,
2020-02-10,California,6,1,7,cases,0.16666666666666666
2020-02-10,California,6,0,0,deaths,
2020-02-10,Illinois,17,0,2,cases,0.0
2020-02-10,Illinois,17,0,0,deaths,
2020-02-10,Massachusetts,25,0,1,cases,0.0
2020-02-10,Massachusetts,25,0,0,deaths,
2020-02-10,Washington,53,0,1,cases,0.0
2020-02-10,Washington,53,0,0,deaths,
2020-02-10,Wisconsin,55,0,1,cases,0.0
2020-02-10,Wisconsin,55,0,0,deaths,
2020-02-11,Arizona,4,0,1,cases,0.0
2020-02-11,Arizona,4,0,0,deaths,
2020-02-11,California,6,0,7,cases,0.0
2020-02-11,California,6,0,0,deaths,
2020-02-11,Illinois,17,0,2,cases,0.0
2020-02-11,Illinois,17,0,0,deaths,
2020-02-11,Massachusetts,25,0,1,cases,0.0
2020-02-11,Massachusetts,25,0,0,deaths,
2020-02-11,Washington,53,0,1,cases,0.0
2020-02-11,Washington,53,0,0,deaths,
2020-02-11,Wisconsin,55,0,1,cases,0.0
2020-02-11,Wisconsin,55,0,0,deaths,
2020-02-12,Arizona,4,0,1,cases,0.0
2020-02-12,Arizona,4,0,0,deaths,
2020-02-12,California,6,0,7,cases,0.0
2020-02-12,California,6,0,0,deaths,
2020-02-12,Illinois,17,0,2,cases,0.0
2020-02-12,Illinois,17,0,0,deaths,
2020-02-12,Massachusetts,25,0,1,cases,0.0
2020-02-12,Massachusetts,25,0,0,deaths,
2020-02-12,Washington,53,0,1,cases,0.0
2020-02-12,Washington,53,0,0,deaths,
2020-02-12,Wisconsin,55,0,1,cases,0.0
2020-02-12,Wisconsin,55,0,0,deaths,
2020-02-13,Arizona,4,0,1,cases,0.0
2020-02-13,Arizona,4,0,0,deaths,
2020-02-13,California,6,0,7,cases,0.0
2020-02-13,California,6,0,0,deaths,
2020-02-13,Illinois,17,0,2,cases,0.0
2020-02-13,Illinois,17,0,0,deaths,
2020-02-13,Massachusetts,25,0,1,cases,0.0
2020-02-13,Massachusetts,25,0,0,deaths,
2020-02-13,Texas,48,1,2,cases,1.0
2020-02-13,Texas,48,0,0,deaths,
2020-02-13,Washington,53,0,1,cases,0.0
2020-02-13,Washington,53,0,0,deaths,
2020-02-13,Wisconsin,55,0,1,cases,0.0
2020-02-13,Wisconsin,55,0,0,deaths,
2020-02-14,Arizona,4,0,1,cases,0.0
2020-02-14,Arizona,4,0,0,deaths,
2020-02-14,California,6,0,7,cases,0.0
2020-02-14,California,6,0,0,deaths,
2020-02-14,Illinois,17,0,2,cases,0.0
2020-02-14,Illinois,17,0,0,deaths,
2020-02-14,Massachusetts,25,0,1,cases,0.0
2020-02-14,Massachusetts,25,0,0,deaths,
2020-02-14,Texas,48,0,2,cases,0.0
2020-02-14,Texas,48,0,0,deaths,
2020-02-14,Washington,53,0,1,cases,0.0
2020-02-14,Washington,53,0,0,deaths,
2020-02-14,Wisconsin,55,0,1,cases,0.0
2020-02-14,Wisconsin,55,0,0,deaths,
2020-02-15,Arizona,4,0,1,cases,0.0
2020-02-15,Arizona,4,0,0,deaths,
2020-02-15,California,6,0,7,cases,0.0
2020-02-15,California,6,0,0,deaths,
2020-02-15,Illinois,17,0,2,cases,0.0
2020-02-15,Illinois,17,0,0,deaths,
2020-02-15,Massachusetts,25,0,1,cases,0.0
2020-02-15,Massachusetts,25,0,0,deaths,
2020-02-15,Texas,48,0,2,cases,0.0
2020-02-15,Texas,48,0,0,deaths,
2020-02-15,Washington,53,0,1,cases,0.0
2020-02-15,Washington,53,0,0,deaths,
2020-02-15,Wisconsin,55,0,1,cases,0.0
2020-02-15,Wisconsin,55,0,0,deaths,
2020-02-16,Arizona,4,0,1,cases,0.0
2020-02-16,Arizona,4,0,0,deaths,
2020-02-16,California,6,0,7,cases,0.0
2020-02-16,California,6,0,0,deaths,
2020-02-16,Illinois,17,0,2,cases,0.0
2020-02-16,Illinois,17,0,0,deaths,
2020-02-16,Massachusetts,25,0,1,cases,0.0
2020-02-16,Massachusetts,25,0,0,deaths,
2020-02-16,Texas,48,0,2,cases,0.0
2020-02-16,Texas,48,0,0,deaths,
2020-02-16,Washington,53,0,1,cases,0.0
2020-02-16,Washington,53,0,0,deaths,
2020-02-16,Wisconsin,55,0,1,cases,0.0
2020-02-16,Wisconsin,55,0,0,deaths,
2020-02-17,Arizona,4,0,1,cases,0.0
